centroid_col	centroid_row	timepoint	position_number	centroidNibble_w2Cy5_5	meanIntensity_w2Cy5_5	totalIntensity_w2Cy5_5	centroidNibble_w7YFP	meanIntensity_w7YFP	totalIntensity_w7YFP	area	solidity	group_number	relative_time
61	222	1	4	33.8405797101449	13.2376445846477	62945	25.1159420289855	20.3013669821241	96533	4755	0.979200988467875	1	0
62	486	1	4	60.8840579710145	18.1925042589438	32037	10.2753623188406	7.29131175468484	12840	1761	0.98489932885906	1	0
84	406	1	4	8.59420289855073	5.92679794520548	13845	13.0724637681159	11.5166952054795	26903	2336	0.971309771309771	1	0
71	10	1	4	20.6231884057971	10.9802731411229	7236	7.69565217391304	5.57207890743551	3672	659	0.983582089552239	1	0
106	101	1	4	54.4492753623188	20.4632352941176	38962	5.30434782608696	3.60976890756303	6873	1904	0.988577362409138	1	0
92	352	1	4	9.82608695652174	7.0301724137931	1631	4.82608695652174	5.31034482758621	1232	232	0.931726907630522	1	0
112	62	1	4	60.4782608695652	20.7105751391466	33489	9.7536231884058	4.93692022263451	7983	1617	0.992024539877301	1	0
102	506	1	4	6.84057971014493	10.2101449275362	2818	2.65217391304348	3.44927536231884	952	276	0.98220640569395	1	0
104	336	1	4	6.20289855072464	6.27027027027027	1392	4.55072463768116	4.03603603603604	896	222	0.977973568281938	1	0
171	374	1	4	2.69565217391304	17.4305235137533	98221	3.85507246376812	6.15652173913043	34692	5635	0.867590454195535	1	0
141	276	1	4	59.7391304347826	20.1214672279014	33462	11.9855072463768	6.58809380637402	10956	1663	0.986358244365362	1	0
182	69	1	4	26.4492753623188	12.5490566037736	19953	6.05797101449275	6.97232704402516	11086	1590	0.984520123839009	1	0
207	154	1	4	61.3768115942029	21.398516163222	40379	10.1304347826087	5.2284048754637	9866	1887	0.986408782017773	1	0
202	250	1	4	55.8695652173913	17.5570007651109	22947	17.5072463768116	8.16755929609793	10675	1307	0.990151515151515	1	0
217	209	1	4	57.3333333333333	20.5990730011588	35554	12.7971014492754	7.74507531865585	13368	1726	0.97129994372538	1	0
237	385	1	4	90.5797101449275	24.9444027047333	33201	15.6086956521739	7.07137490608565	9412	1331	0.951393852751966	1	0
250	95	1	4	68.1304347826087	18.38984375	23539	8.59420289855072	3.98359375	5099	1280	0.98310291858679	1	0
261	310	1	4	36.4057971014493	15.1486784140969	27510	13.3188405797101	9.89592511013216	17971	1816	0.986420423682781	1	0
260	352	1	4	88.2028985507246	24.7974588938715	33179	21.3768115942029	9.32286995515695	12474	1338	0.959139784946237	1	0
291	139	1	4	45.6376811594203	17.6983311938383	27574	13.9710144927536	6.10333761232349	9509	1558	0.985452245414295	1	0
289	209	1	4	49.3478260869565	15.8934169278997	20280	29.0434782608696	11.6206896551724	14828	1276	0.987616099071207	1	0
326	214	1	4	47.0289855072464	15.8726114649682	17444	18.6376811594203	8.37488626023658	9204	1099	0.958987783595113	1	0
332	252	1	4	38.8115942028985	13.9877300613497	15960	17.2753623188406	8.57318141980719	9782	1141	0.981927710843373	1	0
348	463	1	4	9.04347826086956	4.82170542635659	1244	3.84057971014493	2.34108527131783	604	258	0.988505747126437	1	0
385	414	1	4	41.9855072463768	16.8709850107066	31515	23.2753623188406	15.1927194860814	28380	1868	0.987315010570824	1	0
394	338	1	4	15.536231884058	9.62136752136752	11257	10.7971014492754	8.22735042735043	9626	1170	0.984020185029437	1	0
416	271	1	4	37.9275362318841	14.3666228646518	21866	18.1884057971014	11.5532194480946	17584	1522	0.985751295336788	1	0
464	453	1	4	65.0579710144928	22.230303030303	47684	32.0144927536232	14.6289044289044	31379	2145	0.966651644885083	1	0
499	481	1	4	82.6811594202898	24.3734479465138	51038	8.94202898550725	6.60315186246418	13827	2094	0.966312874942317	1	0
506	248	1	4	27.1304347826087	20.862192393736	46627	12.9565217391304	6.64742729306488	14857	2235	0.955536554082941	1	0
510	316	1	4	52.3623188405797	15.2945521698984	16564	16.9855072463768	7.46814404432133	8088	1083	0.984545454545455	1	0
520	386	1	4	46.7826086956522	16.4801880456682	24539	16.9565217391304	9.35661517797179	13932	1489	0.987400530503979	1	0
558	310	1	4	49.3623188405797	15.083264633141	18296	11.7101449275362	7.0560593569662	8559	1213	0.986981285598047	1	0
568	441	1	4	52.4782608695652	16.964970257766	25668	24.5797101449275	9.07666886979511	13733	1513	0.988888888888889	1	0
605	353	1	4	62.6376811594203	19.7594936708861	26537	13.9420289855073	5.75651526433358	7731	1343	0.96549245147376	1	0
596	294	1	4	15.304347826087	6.44398340248963	1553	7.66666666666667	3.4356846473029	828	241	0.987704918032787	1	0
615	390	1	4	82.8550724637681	20.5183639398998	24581	14.5507246376812	5.43572621035058	6512	1198	0.981967213114754	1	0
61	223	2	4	33.536231884058	14.6125189517002	67466	28.4057971014493	20.5100714749838	94695	4617	0.966910994764398	1	1071.36000059545
62	486	2	4	57.6231884057971	16.5412130637636	31908	8.97101449275362	5.93986521513738	11458	1929	0.979685119349924	1	1071.36000059545
59	397	2	4	5.84057971014493	5.43780687397709	6645	8.20289855072464	8.64238952536825	10561	1222	0.971383147853736	1	1071.36000059545
69	11	2	4	24.6666666666667	10.9315263908702	7663	7.65217391304348	6.05848787446505	4247	701	0.985935302390999	1	1071.36000059545
97	418	2	4	7.5072463768116	5.72764949674364	9674	14.8260869565217	9.32978093546477	15758	1689	0.953160270880361	1	1071.36000059545
105	101	2	4	54.2898550724638	21.693831352575	38333	5.82608695652174	3.51612903225806	6213	1767	0.977323008849557	1	1071.36000059545
100	344	2	4	3.85507246376812	5.925	5451	3.21739130434783	5.08478260869565	4678	920	0.942622950819672	1	1071.36000059545
109	63	2	4	64.1159420289855	19.8948328267477	32727	10.3623188405797	4.89240121580547	8048	1645	0.989176187612748	1	1071.36000059545
98	505	2	4	5.26086956521739	9.11989100817439	3347	2.26086956521739	2.97547683923706	1092	367	0.981283422459893	1	1071.36000059545
140	274	2	4	61.4057971014493	19.739054290718	33813	10.6376811594203	5.66141272621133	9698	1713	0.986751152073733	1	1071.36000059545
171	374	2	4	2.72463768115942	17.8066491688539	101765	3.82608695652174	5.67489063867017	32432	5715	0.887835948423178	1	1071.36000059545
177	70	2	4	26.463768115942	11.7958435207824	19298	6.85507246376812	6.87775061124694	11252	1636	0.989117291414752	1	1071.36000059545
197	252	2	4	54.5942028985507	16.8517462580185	23643	16.2028985507246	7.1831789023521	10078	1403	0.984561403508772	1	1071.36000059545
204	149	2	4	61.9855072463768	21.7106816961889	40447	10.5652173913044	4.87385936661299	9080	1863	0.989378651088688	1	1071.36000059545
228	211	2	4	60.8115942028986	20.4982876712329	35913	9.60869565217391	6.7574200913242	11839	1752	0.984269662921348	1	1071.36000059545
236	387	2	4	91.3188405797102	25.5364936042137	33938	14.4492753623188	6.84123401053424	9092	1329	0.941218130311615	1	1071.36000059545
249	96	2	4	68.2028985507247	17.5750750750751	23410	6.91304347826087	3.63288288288288	4839	1332	0.985936343449297	1	1071.36000059545
258	298	2	4	25.1884057971015	10.2933549432739	12702	8.52173913043478	5.50081037277147	6788	1234	0.986410871302958	1	1071.36000059545
262	346	2	4	30.768115942029	21.4958241758242	48903	14.463768115942	9.0989010989011	20700	2275	0.955882352941177	1	1071.36000059545
289	139	2	4	47.6231884057971	17.0353717026379	28415	11.8695652173913	5.46163069544365	9110	1668	0.985815602836879	1	1071.36000059545
294	211	2	4	48.5217391304348	16.0075815011372	21114	27.1304347826087	11.0174374526156	14532	1319	0.959970887918486	1	1071.36000059545
328	216	2	4	51.5072463768116	16.3553859202714	19283	16.8115942028986	7.68702290076336	9063	1179	0.97037037037037	1	1071.36000059545
332	254	2	4	40.5797101449275	13.7315436241611	16368	17.695652173913	7.96140939597315	9490	1192	0.980263157894737	1	1071.36000059545
348	465	2	4	9.33333333333333	4.75875486381323	1223	3.56521739130435	2.01556420233463	518	257	0.980916030534351	1	1071.36000059545
382	413	2	4	46.8985507246377	16.4002976190476	33063	25.7971014492754	13.359126984127	26932	2016	0.987267384916748	1	1071.36000059545
388	339	2	4	13.768115942029	9.20698051948052	11343	10.7826086956522	7.63392857142857	9405	1232	0.98876404494382	1	1071.36000059545
414	273	2	4	42.1594202898551	14.0846493998737	22296	17.0869565217391	10.1674036639292	16095	1583	0.985065339141257	1	1071.36000059545
465	454	2	4	62.0144927536232	21.8921882137963	47922	30.0869565217391	13.693924166286	29976	2189	0.96858407079646	1	1071.36000059545
498	482	2	4	83.3188405797101	24.7709273182957	49418	8.46376811594203	6.8812030075188	13728	1995	0.962837837837838	1	1071.36000059545
505	248	2	4	37.0579710144928	20.2284866468843	47719	12.5072463768116	6.06994489190335	14319	2359	0.969584874640362	1	1071.36000059545
509	316	2	4	50.463768115942	14.256345177665	16851	8.94202898550725	6.56937394247039	7765	1182	0.98582151793161	1	1071.36000059545
519	388	2	4	46.231884057971	15.3577806122449	24081	17.4492753623188	8.34375	13083	1568	0.988027725267801	1	1071.36000059545
558	311	2	4	43.8985507246377	14.1586424625099	17939	11.1884057971014	6.94080505130229	8794	1267	0.986760124610592	1	1071.36000059545
567	445	2	4	50.0144927536232	16.0724450194049	24848	25.9275362318841	9.20957309184993	14238	1546	0.98408656906429	1	1071.36000059545
604	355	2	4	60.6811594202898	19.4262059035277	26983	13.2463768115942	5.43628509719222	7551	1389	0.974736842105263	1	1071.36000059545
597	296	2	4	15.231884057971	9.54961832061069	1251	8.57971014492754	5.42748091603053	711	131	0.992424242424242	1	1071.36000059545
614	391	2	4	81.0579710144928	19.9284539473684	24233	14.8260869565217	5.33305921052632	6485	1216	0.977491961414791	1	1071.36000059545
61	222	3	4	33.2608695652174	15.7256973795435	74414	30.1014492753623	19.5390955198648	92459	4732	0.968283200327399	1	2142.7200011909
